tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2011,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,48,16,2,99,02467,1,2026-03-06
2011,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,4,1,4,99,02467,2,2026-03-06
2015,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,23,3,4,99,02467,1,2026-03-06
2015,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,6,1,4,99,02467,2,2026-03-06
2014,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,31,2,3,99,02467,6,2026-03-06
2014,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,15,0,4,99,02467,1,2026-03-06
2014,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,15,2,4,99,02467,2,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,219,21,5,99,02467,1,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,114,8,5,99,02467,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,255,18,5,99,02467,1,2026-03-06
