tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2017,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,22,2,99,7,02537,1,2026-03-06
2017,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,174,44,99,8,02537,1,2026-03-06
2017,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,18,1,99,9,02537,1,2026-03-06
2017,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,21,11,99,10,02537,1,2026-03-06
2017,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,339,27,99,11,02537,1,2026-03-06
2017,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,59,25,99,12,02537,1,2026-03-06
2017,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,2,99,1,02537,2,2026-03-06
2017,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,3,0,99,2,02537,2,2026-03-06
2017,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,9,9,99,5,02537,2,2026-03-06
2017,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,32,2,99,8,02537,2,2026-03-06
2017,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,11,0,99,9,02537,2,2026-03-06
2017,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,58,8,99,11,02537,2,2026-03-06
2017,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,14,10,99,12,02537,2,2026-03-06
2017,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,1,99,2,02537,6,2026-03-06
2017,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,8,99,5,02537,6,2026-03-06
2017,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,22,4,99,8,02537,6,2026-03-06
2017,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,0,99,9,02537,6,2026-03-06
2017,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,0,99,10,02537,6,2026-03-06
2017,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,33,2,99,11,02537,6,2026-03-06
2017,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,12,2,99,12,02537,6,2026-03-06
2018,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,31,99,1,02537,1,2026-03-06
2018,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,8,41,99,2,02537,1,2026-03-06
2018,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,61,56,99,5,02537,1,2026-03-06
2018,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,37,10,99,7,02537,1,2026-03-06
2018,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,216,60,99,8,02537,1,2026-03-06
2018,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,34,0,99,9,02537,1,2026-03-06
2018,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,28,5,99,10,02537,1,2026-03-06
2018,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,316,50,99,11,02537,1,2026-03-06
2018,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,41,51,99,12,02537,1,2026-03-06
2018,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,6,99,1,02537,2,2026-03-06
2018,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,3,12,99,2,02537,2,2026-03-06
2018,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,4,99,5,02537,2,2026-03-06
2018,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,14,9,99,8,02537,2,2026-03-06
2018,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,7,3,99,9,02537,2,2026-03-06
2018,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,121,22,99,11,02537,2,2026-03-06
2018,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,6,99,12,02537,2,2026-03-06
2018,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,1,99,1,02537,6,2026-03-06
2018,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,4,6,99,2,02537,6,2026-03-06
2018,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,21,5,99,5,02537,6,2026-03-06
2018,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,23,3,99,8,02537,6,2026-03-06
2018,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,2,99,9,02537,6,2026-03-06
2018,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,3,0,99,10,02537,6,2026-03-06
2018,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,47,0,99,11,02537,6,2026-03-06
2018,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,1,99,12,02537,6,2026-03-06
2020,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,33,99,1,02537,1,2026-03-06
2020,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,21,35,99,2,02537,1,2026-03-06
2020,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,70,71,99,5,02537,1,2026-03-06
2020,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,33,14,99,7,02537,1,2026-03-06
2020,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,202,29,99,8,02537,1,2026-03-06
2020,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,21,1,99,9,02537,1,2026-03-06
2020,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,27,6,99,10,02537,1,2026-03-06
2020,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,198,74,99,11,02537,1,2026-03-06
2020,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,41,17,99,12,02537,1,2026-03-06
2020,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,5,99,1,02537,2,2026-03-06
2020,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,2,99,2,02537,2,2026-03-06
2020,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,11,16,99,5,02537,2,2026-03-06
2020,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,26,6,99,8,02537,2,2026-03-06
2020,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,15,0,99,9,02537,2,2026-03-06
2020,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,102,14,99,11,02537,2,2026-03-06
2020,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,8,11,99,12,02537,2,2026-03-06
2020,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,10,99,1,02537,6,2026-03-06
2020,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,7,99,2,02537,6,2026-03-06
2020,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,20,10,99,5,02537,6,2026-03-06
2020,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,15,7,99,8,02537,6,2026-03-06
2020,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,0,99,9,02537,6,2026-03-06
2020,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,58,5,99,11,02537,6,2026-03-06
2020,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,3,1,99,12,02537,6,2026-03-06
2019,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,27,99,1,02537,1,2026-03-06
2019,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,27,26,99,2,02537,1,2026-03-06
2019,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,76,55,99,5,02537,1,2026-03-06
2019,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,33,10,99,7,02537,1,2026-03-06
2019,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,225,46,99,8,02537,1,2026-03-06
2019,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,31,2,99,9,02537,1,2026-03-06
2019,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,23,3,99,10,02537,1,2026-03-06
2019,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,277,32,99,11,02537,1,2026-03-06
2019,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,59,50,99,12,02537,1,2026-03-06
2019,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,5,99,1,02537,2,2026-03-06
2019,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,6,99,2,02537,2,2026-03-06
2019,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,16,99,5,02537,2,2026-03-06
2019,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,35,3,99,8,02537,2,2026-03-06
2019,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,4,0,99,9,02537,2,2026-03-06
2019,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,117,6,99,11,02537,2,2026-03-06
2019,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,8,7,99,12,02537,2,2026-03-06
2019,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,9,99,1,02537,6,2026-03-06
2019,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,4,9,99,2,02537,6,2026-03-06
2019,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,5,99,5,02537,6,2026-03-06
2019,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,2,99,8,02537,6,2026-03-06
2019,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,0,99,9,02537,6,2026-03-06
2019,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,0,99,10,02537,6,2026-03-06
2019,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,45,5,99,11,02537,6,2026-03-06
2019,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,2,6,99,12,02537,6,2026-03-06
2021,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,24,99,1,02537,1,2026-03-06
2021,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,18,29,99,2,02537,1,2026-03-06
2021,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,58,72,99,5,02537,1,2026-03-06
2021,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,34,2,99,7,02537,1,2026-03-06
2021,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,168,37,99,8,02537,1,2026-03-06
2021,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,18,4,99,9,02537,1,2026-03-06
2021,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,34,5,99,10,02537,1,2026-03-06
2021,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,199,90,99,11,02537,1,2026-03-06
2021,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,52,7,99,12,02537,1,2026-03-06
2021,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,1,99,1,02537,2,2026-03-06
2021,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,1,3,99,2,02537,2,2026-03-06
2021,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,34,20,99,5,02537,2,2026-03-06
2021,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,1,99,7,02537,2,2026-03-06
2021,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,33,4,99,8,02537,2,2026-03-06
2021,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,3,0,99,9,02537,2,2026-03-06
2021,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,105,20,99,11,02537,2,2026-03-06
2021,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,10,4,99,12,02537,2,2026-03-06
2021,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,3,99,1,02537,6,2026-03-06
2021,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,5,99,2,02537,6,2026-03-06
2021,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,21,5,99,5,02537,6,2026-03-06
2021,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,16,17,99,8,02537,6,2026-03-06
2021,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,65,18,99,11,02537,6,2026-03-06
2021,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,5,1,99,12,02537,6,2026-03-06
2022,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,6,16,99,1,02537,1,2026-03-06
2022,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,39,99,2,02537,1,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,69,66,99,5,02537,1,2026-03-06
2022,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,24,8,99,7,02537,1,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,158,49,99,8,02537,1,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,19,2,99,9,02537,1,2026-03-06
2022,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,13,1,99,10,02537,1,2026-03-06
2022,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,191,92,99,11,02537,1,2026-03-06
2022,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,41,10,99,12,02537,1,2026-03-06
2022,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,2,6,99,2,02537,2,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,25,22,99,5,02537,2,2026-03-06
2022,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,5,1,99,7,02537,2,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,47,15,99,8,02537,2,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,11,1,99,9,02537,2,2026-03-06
2022,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,64,28,99,11,02537,2,2026-03-06
2022,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,10,6,99,12,02537,2,2026-03-06
2022,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,0,4,99,1,02537,6,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,25,12,99,5,02537,6,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,34,1,99,8,02537,6,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,7,0,99,9,02537,6,2026-03-06
2022,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Savonia-ammattikorkeakoulu,4,1,99,10,02537,6,2026-03-06
